單字	詞性	中文解釋	例句
abuse	n.	濫用，虐待	Child _____ is a growing problem.
abuse	v.	濫用，虐待	The manager _____ his power to such an extent that no one wanted to work for him anymore.
abusive	adj.	辱罵的，虐待的	Mr. Wang's cruel and _____ son yelled at him last night.
alien	adj.	外國的，陌生的	It's hard for Jason to adjust to the _____ culture.
alien	n.	外國人，外星人	Although John is an _____ in Japan, he can speak fluent Japanese.
boost	v.	促進，推動	The man _____ the little boy up onto the pony.
boost	n.	促進，推動	Owing to the typhoon, there was a _____ in the prices of vegetables.
certificate	n.	證書	People are required to have a teaching _____ to be a qualified teacher.
certificate	v.	發給證書	The elderly couple's marriage is _____.
certificated	adj.	合格的，有證書的	Only a _____ doctor is allowed to practice medicine.
chubby	adj.	胖嘟嘟的，豐滿的	The baby with _____ cheeks and blond hair is my nephew.
clause	n.	條款，子句	The lawyer is explaining the contract to the client _____ by _____.
contend	v.	競爭，主張	Three contestants are _____ for the prize.
drought	n.	乾旱	Water supplies were rationed during the _____.
equation	n.	方程式，等式	It took me hours to solve this _____.
equivalent	n.	同等物	The winner of this contest will get a trip to France or its _____ in tickets to any other place.
equivalent	adj.	相等的	The billionaire's assets are _____ to those of a small country.
excessive	adj.	過度的	_____ drinking can cause health problems.
incorporate	v.	包含，將...併入	The singer's new album _____ music genres of jazz and hip-hop.
intent	n.	意圖	The talk spoiled everything, despite the fact that its _____ was to bring peace between the two countries.
intent	adj.	專注的，熱切的	From his _____ gaze, I know Bob really likes the gift.
loop	n.	圈，環	Do you know how to tie a _____ in a rope?
loop	v.	把...打成環	The man _____ a tie around his neck.
olive	adj.	橄欖綠的	The Greek girl in an _____ sweater has beautiful _____ skin.
olive	n.	橄欖	To cook healthy spaghetti, Jackson replaced the butter in the recipe with _____ oil.
overtake	v.	超越，趕上	Our car soon _____ Jane's.
pension	n.	養老金，退休金	The old couple lived on a small _____.
pension	v.	發給養老金使其退休	Most employees in our company are _____ off at the age of sixty-five.
provision	n.	準備，提供	You shouldn't spend all your money, but make _____ for the future.
sequence	n.	一連串，順序	A _____ of tragedies led up to her suicide.
sequence	v.	按順序排列	The organizers will _____ the contestants, putting the youngest first.
skull	n.	頭骨	The _____ protects the brain from physical harm.
sneak	v.	偷偷地走	The pickpocket _____ away when he saw the police coming.
sneak	n.	偷偷摸摸的人	No one likes the boy because he is a _____.
storage	n.	儲存	To preserve fish, we should put it in cold _____.
theoretical	adj.	理論上的	This method is merely _____.
acknowledge	v.	承認	The organization finally _____ that there was still room for improvement.
acknowledgement	n.	承認，確認	Our organization gave the man a medal in _____ of his help.
alliance	n.	聯盟	Switzerland is a neutral country which does not belong to any military _____.
carbon	n.	碳，複寫紙	Besides the original, Nancy also kept a _____.
chaos	n.	混亂	After the earthquake, the whole country was in complete _____.
chaotic	adj.	混亂的	Societies would be _____ without laws.
cling	v.	緊抓，緊貼	The wet clothes _____ to her body.
compassion	n.	同情	Out of _____, people voluntarily donated money to the flood victims.
conviction	n.	定罪，確信	The thief had several previous _____ for theft.
ecology	n.	生態，生態學	Industrial development has brought us convenience. However, it has also damaged the _____ of Earth.
ecologist	n.	生態學家	The _____ estimate that hundreds of animals have been affected by the tsunami.
errand	n.	差事	Tom was sent on an _____ to the store.
exceptional	adj.	例外的，異常的	The students are allowed to eat in class in _____ circumstances.
executive	n.	高階主管	The _____ showed her resolution to extend the business overseas.
executive	adj.	執行的	A chief _____ officer is the leader of a company.
infect	v.	感染	The inhabitants were _____ with malaria.
interference	n.	干涉	The government stated that they won't tolerate any kind of _____ in the domestic affairs from other countries.
maintenance	n.	維護，保養	The historic building is closed for regular _____.
marine	adj.	海洋的	The damage of oil pollution to the _____ environment is very huge.
marine	n.	海軍陸戰隊士兵	Committing a disciplinary offense, the _____ was held in confinement.
overturn	v.	推翻，翻倒	John _____ every piece of the furniture in his room looking for his homework.
personnel	n.	人員，員工	The security _____ in the technology company are all experienced.
qualify	v.	取得資格	Jack didn't _____ for the competition.
qualified	adj.	合格的	Dan is now a _____ lawyer.
shortage	n.	短缺	Tainan Blood Center reported a _____ of blood and appealed for blood donation yesterday.
slap	n.	拍擊	When Tom scored a basket, his teammate gave him a _____ on the back.
slap	v.	摑，拍	The lady _____ her boyfriend on the face.
slap	adv.	猛然地，直接地	Mr. Wang ran _____ into the wall.
sober	adj.	清醒的，嚴肅的	Drunk or _____, he is a gloomy man.
sober	v.	醒酒，使清醒	A cup of coffee will _____ you up.
thrive	v.	繁榮，茁壯	Our company is _____ in the new market.
version	n.	版本	Have you ever read the French _____ of The Little Prince?
worship	n.	崇拜，敬神	The young lady's _____ of money disgusts me.
worship	v.	崇拜，信奉	Steve _____ his father.
yield	v.	屈服，讓步	Many countries state that they won't _____ to terrorism.
yield	n.	產量	There is a huge reduction in milk _____ because of the hot weather.
abnormal	adj.	不正常的	Environmental pollution is causing _____ weather conditions.
abolish	v.	廢除	A rising number of countries have _____ the death penalty.
abolition	n.	廢除	Many organizations work for the _____ of child labor.
adolescent	adj.	青春期的	Parents sometimes cannot understand their _____ children.
adolescent	n.	青少年	Acne bothers a lot of _____.
allocate	v.	分配	As a group leader, you should _____ jobs to your members.
allocation	n.	分配	The charity made an _____ of funds for the orphanage.
browse	v.	瀏覽	Jenny _____ through all the websites related to "ancient wonders."
browse	n.	瀏覽	Kevin had a quick _____ through all the books on the shelf.
celebrity	n.	名人	Lots of _____ showed up at the opening of the Cannes Film Festival.
choir	n.	合唱團	The famous actress sang in a school _____ when she was in high school.
colonial	adj.	殖民的	The country gained independence from British _____ rule in the 20th century.
colonial	n.	殖民地居民	The term "Wansei" refers to the Japanese _____ born in Taiwan.
compromise	n.	妥協	After a long discussion, we finally reached a _____ over the issue.
compromise	v.	妥協	They finally _____ with each other over the amount of the compensation.
coordinate	v.	協調	The company needs Mr. Liu to _____ the whole conference.
coordinate	n.	座標	The injured mountain climber gave the _____ by radio so that the search and rescue team could find out where she was.
elaborate	v.	詳細說明	The dean _____ on the new policy for college applications.
eternal	adj.	永恆的	Mary seems to be an _____ optimist.
eternally	adv.	永恆地，總是	The teacher is angry because the students are _____ chatting in class.
exotic	adj.	異國的	John enjoys tasting various _____ foods.
exotic	n.	異國事物，外來物種	The living space of some native species is threatened by _____.
extraordinary	adj.	非凡的，特別的	It was _____ that I bumped into my childhood sweetheart in London yesterday.
flip	v.	翻轉	The cook skillfully _____ the egg over in the pan.
flip	n.	翻轉	The woman removed the ash from her cigarette with a _____ of her forefinger.
infinite	adj.	無限的	Natural resources are not _____; they are exhaustible.
kidnap	v.	綁架	Three men _____ a student on his way home.
kidnapper	n.	綁架者	The _____ demanded a ransom of one million dollars.
medication	n.	藥物	My sister takes _____ for her allergies.
parallel	adj.	平行的	The road runs _____ with the stream.
parallel	n.	平行線	Draw a _____ to the first line.
parallel	v.	與...平行，比得上	The student's theories _____ those of the professor.
plead	v.	懇求	Nick _____ with his boss to reconsider his proposition.
pleading	adj.	懇求的	In a _____ voice, the man asked his boss for his job back.
pleadingly	adv.	懇求地	The girl is looking at her father _____, hoping he will buy her the toy.
quest	n.	尋求，追求	Their _____ for treasures was in vain.
skeleton	n.	骨骼，骨架	The old man is merely a walking _____.
slavery	n.	奴隸制度	In ancient China, girls from poor families were often sold into _____.
statistical	adj.	統計的	The report contains a lot of _____ information.
toll	n.	通行費，傷亡人數	We have to pay a _____ when we cross the bridge.
toll	v.	敲鐘	The bells were _____ for the dead.
abortion	n.	墮胎	The doctor warns the woman about the dangers of _____.
accommodate	v.	容納	The hotel can _____ 500 guests.
advocate	n.	提倡者	Ms. Lin is an enthusiastic _____ of women's liberation.
advocate	v.	提倡	Some people _____ the abolition of the death penalty.
advocacy	n.	提倡，擁護	Dr. King is known for his _____ of the rights of the black.
ally	n.	盟友	Germany and Turkey, then called the Ottoman Empire, were _____ in World War I.
ally	v.	結盟	The small company will _____ with the large company to make more money.
ceremony	n.	典禮	Students held back their tears during the graduation _____.
circuit	n.	繞行，電路	The earth completes its _____ of the sun in one year.
