單字	詞性	中文解釋	例句
acquaint	v.	使熟悉	It is Laura's job to _____ newcomers with the rules of the office.
anticipate	v.	預期	The patient recovered faster than _____.
arrogant	adj.	傲慢的	The _____ official refused to answer any questions about her scandals.
arrogance	n.	傲慢	Paul's friends all left him because they could not put up with his _____.
athletics	n.	體育運動	Wendy was praised for her impressive performance in school _____.
awe	n.	敬畏	The sights of Taroko National Park filled me with _____.
awe	v.	使敬畏	All the tourists were _____ by the majestic view.
communist	adj.	共產主義的	North Korea is a _____ country.
communist	n.	共產主義者	Mark is a _____; he wants to create a society where everyone is equal.
coverage	n.	新聞報導	The newscaster is giving live _____ of the election campaign.
deficit	n.	赤字	The startup tried to reduce its budget _____ by cutting spending.
extension	n.	延伸，擴展	The research is an _____ of the topic Dr. Lin introduced in the book.
federal	adj.	聯邦的	The _____ government is criticized for being slow to react to the disastrous impacts of hurricane.
mount	n.	山，峰	The mountain climbers overcame all the difficulties and got to the top of _____ Everest.
mount	v.	增加，上升	The students' pressure is _____ as the exam draws nearer.
performer	n.	表演者	Amy's dream is to become a brilliant _____.
plea	n.	懇求，請求	Doris made a _____ to the police to look for her missing son.
questionnaire	n.	問卷	Participants were asked to fill in the _____s after the workshop.
recite	v.	背誦，朗誦	At the request of the audience, the poet _____d several poems she had written.
recital	n.	獨奏會，朗誦會	Venus is going to give a violin _____ at the cultural center.
revenue	n.	收益，稅收	Ten percent of the company's _____ will be spent on charity.
sponsor	n.	贊助者	Before signing the contract, you need to find a _____.
sponsor	v.	贊助	The road running race is _____ed by a bank.
stock	n.	存貨，股票	Emily always keeps a good _____ of cosmetics.
texture	n.	質地，觸感	This lotion can give your skin a silky _____.
tribute	n.	敬意，尊崇	The president paid _____ to the soldiers who fought bravely in the battle.
vague	adj.	模糊的	The politician only made _____ promises to abolish nuclear power.
vaguely	adv.	模糊地	The girl's face looked _____ familiar but I couldn't remember where we had met.
wildlife	n.	野生動植物	Construction of highways is very likely to endanger _____.
accessible	adj.	可進入的，可得到的	The village is only _____ by air. There is no other way to reach it.
acquisition	n.	獲得，習得	Amy's _____ of writing skills is mainly through continuous practice.
antique	adj.	古董的	The _____ china is worth millions of dollars.
antique	n.	古董	Kathy has a fine collection of _____s.
assess	v.	評估	Some experts are invited to _____ if the seaside resort meets the requirements of environmental protection.
assessment	n.	評估	Greg made a careful _____ before investing in the property market.
ban	n.	禁令	Some argued that the total _____ on smoking violates human rights.
ban	v.	禁止	Caught drunk driving, Bill was _____ned from driving for one year.
commute	v.	通勤	Carrie _____s between Taipei and Keelung by intercity bus every day.
contemporary	adj.	當代的	The use of electronic sounds is one characteristic of _____ music.
contemporary	n.	同時代的人	Tang Xianzu was a _____ of Shakespeare.
cruise	n.	乘船遊覽	The newlyweds went on a 10-day Mediterranean _____.
cruise	v.	乘船遊覽，航行	Maria _____d around the Caribbean for 5 days.
depict	v.	描繪	The painting vividly _____s what a church was like 100 years ago.
depiction	n.	描寫，敘述	The bloody _____ of the war on TV disgusted the viewers.
fabric	n.	布料，織物	You can find various kinds of _____s in that _____ market.
flexibility	n.	彈性，靈活性	Because of its _____, rubber is used for tires.
genre	n.	類型，流派	The novels on Molly's bookshelf are arranged according to the _____s.
howl	n.	長嚎，號叫	The _____ of dogs made me toss and turn all night.
howl	v.	長嚎，號叫	Wolves _____ to call the pack together.
midst	n.	中間	A school in the _____ of the city doesn't usually have a large campus.
midst	prep.	在...之中	A swarm of bees fly _____ the flowers.
nasty	adj.	惡劣的，令人不快的	Don't be so _____ to those who care about you.
nastily	adv.	險惡地，令人不快地	The violent criminal smiled _____ at the police.
pledge	n.	誓言，保證	Will made a _____ to take his kids to the aquarium.
pledge	v.	發誓，保證	The government _____d to rebuild the bridge ruined by the typhoon as soon as possible.
prey	n.	獵物	Spiders use their webs to catch their _____.
prey	v.	捕食	Sparrows _____ on worms and fruits.
random	adj.	隨機的	The survey used a _____ sample of 500 students throughout the town.
randomly	adv.	隨機地	The magician asked the little girl to pick a card _____.
refuge	n.	避難，避難所	A thunderstorm forced the passers-by to take _____ from the rain in the arcade.
reverse	v.	逆轉，反轉	It will take some time to _____ the economic decline.
reverse	adj.	相反的，顛倒的	The FBI agent says one way to spot liars is to ask them to tell their stories in _____ order.
reverse	n.	相反的事物	Many of Julia's friends think Julia is outgoing; however, the _____ is true.
reversal	n.	逆轉，翻轉	The clothing factory experienced a _____ of fortune, but now it's getting better.
strain	n.	拉力，壓力	Thomas is learning to cope with the stresses and _____s of his studies.
strain	v.	拉緊，竭力	Without subtitles, Vicky needs to _____ her ears to catch the conversations in the movie.
strained	adj.	緊張的，勉強的	Relations between the Soviet Union and the United States were _____ during the Cold War.
toxic	adj.	有毒的	The factory was caught releasing _____ chemicals into the river.
transaction	n.	交易	Remember to get a receipt after the _____.
vendor	n.	小販	Jacob bought a hot dog from a street _____ on the sidewalk.
via	prep.	經由，透過	Sophia flew to Taiwan from London _____ Bangkok.
abundant	adj.	豐富的，充裕的	There will be _____ supplies of food and medicine sent to the refuge.
activist	n.	激進分子，社運人士	The environmental _____s organized a protest against the planned new factory.
administrative	adj.	行政的	Molly had worked for many years as an _____ assistant before she was promoted to manager.
apt	adj.	適合的，有...傾向的	Both reward and punishment should be _____ for students' behavior.
aptitude	n.	資質，天賦	Leslie has a natural _____ for music. No wonder she plays the piano so well.
barren	adj.	貧瘠的	Nothing can grow in this _____ soil.
beloved	adj.	摯愛的	The accident took the life of Ken's _____ daughter.
beloved	n.	心愛的人	Dan sent a bunch of red roses to his _____ on Valentine's Day.
compatible	adj.	相容的，合得來的	This software is not _____ with my computer.
density	n.	密度	The city has the high _____ of convenience stores.
derive	v.	起源於，衍生出	Many English words are originally _____d from Latin.
fiber	n.	纖維	Vivian has very sensitive skin, so she only buys clothes made of natural _____s.
fluid	n.	流體，液體	After the operation, the patient was asked to drink _____s only.
fluid	adj.	流暢的，流動的	The ballet dancer was dancing with graceful and _____ movements.
glare	n.	怒視，刺眼的光	Leo's teacher gave him an angry _____.
glare	v.	怒視，發出刺眼的光	Sharon _____d at Gary and walked out of the kitchen.
legitimate	adj.	合法的，正當的	All of Robert's property went to his daughter as she was the only _____ heir.
legitimate	v.	使合法，證明為正當	Some victims of sexual assault hoped to _____ abortion.
migration	n.	遷徙	The biologists are studying the seasonal _____ of the birds.
migrate	v.	遷徙，移居	Swallows _____ to the south in autumn.
neutral	adj.	中立的	Ivan takes a _____ stand in the argument between his parents.
neutral	n.	中立國，中立者	Switzerland was a _____ throughout the Second World War.
plunge	n.	跳入，驟降	One witness recorded the helicopter's _____ into the valley.
plunge	v.	跳入，驟降	The tour bus was hit by the falling rock and _____d over the cliff.
prior	adj.	先前的	The fire broke out without any _____ warning.
residence	n.	住宅，居住	The White House is the _____ of the president of the United States.
ridiculous	adj.	荒謬的，可笑的	Whenever Brian got drunk, he would unknowingly do something _____.
ridicule	n.	嘲笑，奚落	Fiona became an object of _____ since her skirt was inside out.
ridicule	v.	嘲笑，奚落	Grace was upset when her hairstyle was _____d by her classmates.
saint	n.	聖人	_____ Paul's Cathedral is one of the most popular tourist attractions in London.
scent	n.	氣味，香味	Some can't stand the _____ of durian.
scent	v.	使充滿氣味	The incense _____s the air in the temple.
suburban	adj.	郊區的	The newlyweds are looking for a _____ house at an affordable price.
trait	n.	特徵，特點	Honesty is one of Ann's most admirable _____s.
transparent	adj.	透明的	Rays can go through _____ glass.
viable	adj.	可行的	Honestly speaking, we don't think your plan is _____.
administrator	n.	行政人員，管理者	Due to the political scandal, the _____ made a public apology and decided to resign.
alter	v.	改變，修改	One small thought may _____ your life.
alteration	n.	改變，修改	Emma made some _____s to her old apartment.
arena	n.	競技場，比武場	A boxing match was held in the _____.
behalf	n.	代表，利益	Lily will receive the award on _____ of her class.
belongings	n.	所有物，財產	Hank ran away from home with only a few personal _____.
