單字	詞性	中文解釋	例句
allowance	n.	零用錢	Alex received a weekly _____ from his father.
bald	adj.	禿頭的	The man went _____ at the age of thirty.
blossom	n.	花	The white lily _____ symbolizes purity.
blossom	v.	開花	When the roses _____, the garden is filled with fragrance.
choke	v.	噎住	Eve _____d on a fish bone and was sent to the hospital.
choke	n.	窒息聲	With his hand over his mouth, the little boy let out a _____ of laughter.
constitute	v.	構成	Teachers _____ about 30% of the committee.
coward	n.	懦夫	Only a _____ runs away from the enemy.
diploma	n.	文憑	Vanessa has got a _____ in hotel management.
fax	n.	傳真	We just received an order form by _____.
fax	v.	傳真	You can order our products online or _____ the order form to us.
ferry	n.	渡輪	They took the _____ across the bay.
ferry	v.	運送	The boatman _____ied the passengers across the river.
ginger	n.	薑	You can get rid of the fishy smell of shrimps with a few slices of _____.
hasten	v.	催促	Helen _____ed her younger brother to get ready.
humidity	n.	濕度	Coastal areas usually have higher _____ than inland areas.
intermediate	adj.	中級的	Sam is taking the _____ course in English.
intermediate	n.	中級程度的人	This Japanese class is for _____s.
intermediate	v.	調停	The coach _____d between the two players.
loosen	v.	鬆開	You can _____ the screw by turning counterclockwise.
memorable	adj.	難忘的	We spent a _____ week camping by the river.
obedience	n.	服從	Absolute _____ is required in the army.
perfection	n.	完美	In order to achieve _____, Ted made numerous revisions to his writing.
plentiful	adj.	豐富的	Mangoes are _____ in the summer.
remark	n.	言論	Susie's colleague hurt her feelings by making rude _____s.
remark	v.	評論	The girl turned down the role after _____ing that she wasn't prepared to be an actress.
resignation	n.	辭職	Shelly handed in her _____ this morning.
slogan	n.	口號	The _____ of that political party is "From the cradle to the grave."
technological	adj.	科技的	The _____ development in the past decade has totally changed the way people communicate.
troublesome	adj.	令人煩惱的	The _____ boy from the house next door almost drove us crazy.
vegetarian	n.	素食者	Betty chose to be a _____ for the sake of her health as well as the environment.
ambiguous	adj.	含糊不清的	The _____ statement caused misunderstanding.
ballet	n.	芭蕾舞	The audience was fascinated by the graceful movements of the _____ dancer.
bounce	v.	彈起	The ball _____d over the wall.
bounce	n.	彈跳	The infielder tried to catch the ball on the first _____.
circulate	v.	循環	Exercise helps to get blood _____ing through the body.
convenience	n.	便利	The _____ of online shopping makes it possible for us to buy anything without going out.
creep	v.	爬行，悄悄地走	A thief _____t into the hospital and stole valuable belongings from several patients.
disadvantage	n.	缺點	It is a _____ to be unable to speak English nowadays.
disadvantage	v.	使處於不利地位	It is said this rule could _____ the indigenous people.
divine	adj.	神聖的	The fan regards her idol as a _____ being.
feast	n.	盛宴	All the family members got together and had a _____ to celebrate their parents' 50th wedding anniversary.
feast	v.	盡情享用	We _____ed on food and wine on Chinese New Year's Eve.
finance	n.	財務	Illness and unemployment cause unbearable strain on Bill's _____s.
finance	v.	資助	The boy was grateful that his grandfather _____d his education.
glorious	adj.	光榮的	After the athlete won a gold medal in the Olympic Games, he returned home with a _____ victory.
herd	n.	獸群	In the video, a _____ of elephants is crossing the river.
herd	v.	放牧	It's amazing that the shepherd dog can _____ the sheep.
hurricane	n.	颶風	A _____ is a destructive storm which forms in the Atlantic Ocean.
interruption	n.	打斷	The president spoke for 30 minutes without _____ at the opening ceremony.
loyalty	n.	忠誠	The admiral's _____ to his country has never been doubted.
memorize	v.	記住	The teacher told the students to _____ the new words in class.
obedient	adj.	服從的	The students are supposed to be _____ to their teachers.
obediently	adv.	服從地	The dog obeyed its master's orders _____.
persuasion	n.	說服	It took a lot of _____ to make Nelson change his mind.
plum	n.	李子	Mike grows a _____ tree.
repetition	n.	重複	The teacher asked Justin to revise his essay because of some unnecessary _____.
respectful	adj.	尊敬的	Tony is _____ to his elders.
respectfully	adv.	尊敬地	Simon talked _____ to the great scholar.
socket	n.	插座	The mother warned her children not to put their fingers into electric _____s.
telescope	n.	望遠鏡	Amber looked at Halley's Comet through a _____.
twig	n.	小樹枝	The campers collected some dry _____s to make a fire.
vital	adj.	重要的，致命的	Your help is _____ to the program.
ambitious	adj.	有野心的	The _____ young man wants to establish his own business.
bandage	n.	繃帶	The nurse wrapped a _____ around my injured arm.
bandage	v.	用繃帶包紮	Teresa cleaned the wound and _____d it up.
calculate	v.	計算	I am _____ing how much tax I should pay this year.
clash	n.	衝突	There were violent _____es between the police and the protesters today.
clash	v.	衝突	The residents _____ed with the police over whether to tear down the old church.
converse	v.	交談	Louis speaks French only, and I speak English only, so it is difficult for me to _____ with him.
critic	n.	評論家	The movie was praised by the film _____s.
disgust	n.	厭惡	People expressed their _____ at the government's new tax policy.
disgust	v.	使厭惡	The thought of people spitting on the sidewalk _____ed me.
disgusted	adj.	感到厭惡的	I was _____ with Helen's behavior.
disgusting	adj.	令人厭惡的	Terry's room is _____. There are dirty clothes and used tissues everywhere.
divorce	n.	離婚	To avoid paying for her husband's debts, the wife filed for a _____.
divorce	v.	離婚	Sunny decided to _____ her husband.
fertile	adj.	肥沃的	In this country, most _____ farmland, which produces the majority of crops, is located in the west.
flee	v.	逃跑	The criminal tried to _____ the country but was stopped at the harbor.
gown	n.	禮服	The bride wore a beautiful wedding _____.
hook	n.	鉤子	Hang your coat on the _____ behind the door.
hook	v.	釣住	Luckily, the fisherman _____ed a big salmon within an hour.
hooked	adj.	入迷的	Tom is completely _____ on video games.
hush	n.	寂靜	A _____ descended over the classroom when the students saw their teacher.
hush	v.	使安靜	The tired mother was trying to _____ her crying baby but in vain.
isolate	v.	隔離	The child with an infectious disease was _____d from other people.
isolated	adj.	孤立的	Peter leads an _____ life.
luxury	n.	奢侈	The wealthy man lives in _____ in the mansion.
mercy	n.	慈悲	Sandy asked the judge to have _____ on her father.
obstacle	n.	障礙	Leo's fear of water is his major _____ to becoming a sailor.
pest	n.	害蟲	Flies and rats are common _____s.
pesticide	n.	殺蟲劑	The overuse of _____ will pollute the environment.
plumber	n.	水管工人	The toilet is out of order. I'm going to have a _____ fix it.
rescue	n.	救援	The _____ of the surviving passengers in the plane crash started immediately.
rescue	v.	救援	The firefighters _____d the baby from the burning building.
restore	v.	恢復	The mayor is trying to _____ people's confidence in the city government.
spade	n.	鏟子	The child is digging in the sand with a _____.
thorough	adj.	徹底的	The detective is making a _____ search of the house.
