單字	詞性	中文解釋	例句
agriculture	n.	農業	People in this area depend on _____ for a living.
attractive	adj.	有吸引力的	Everything about the singer is _____ to his loyal fans.
bacon	n.	培根	Please give me a slice of _____.
career	n.	職業，生涯	Pursuing a _____ in medicine, the young doctor committed himself to treating people in the poor village.
clown	n.	小丑	Nancy likes the _____ best at the circus.
clown	v.	扮小丑，開玩笑	My teacher was angry that all the students _____ around in class this morning.
cricket	n.	蟋蟀	Male _____ chirp at night in order to attract female _____.
criminal	adj.	犯罪的	People with a _____ record sometimes find it hard to get a job.
criminal	n.	罪犯	Justice is done when _____ receive the punishment they deserve.
dramatic	adj.	戲劇性的，巨大的	Justin went abroad for only a few months, but you could notice a _____ change in his behavior.
educate	v.	教育	Schools should _____ children about the importance of recycling.
educational	adj.	有教育意義的	A good children's book is not only fun but _____ as well.
expectation	n.	期望，預期	Eric has to study hard to live up to his parents' _____.
expressive	adj.	表達的，表情豐富的	The poem was _____ of the writer's ideas about life.
frank	adj.	坦白的，真誠的	Annie is pretty _____ about her opinions.
frankly	adv.	坦白地	John admitted his mistake _____.
kingdom	n.	王國	The king ruled over a large _____.
lung	n.	肺	Hogan breathed deeply to fill his _____ with fresh air.
motel	n.	汽車旅館	When traveling by car, you can choose a _____, where you can park your car outside the room.
paradise	n.	天堂，樂園	It is generally believed that good people will go to _____ after they die.
political	adj.	政治的	This country has several _____ parties.
politically	adv.	政治上地	Which political party will win the election is a _____ sensitive issue.
prevent	v.	預防，阻止	The heavy rain _____ my brother from going out.
reserve	n.	儲備，保護區	My parents keep a large _____ of water and food for typhoons.
reserve	v.	保留，預訂	Priority seats are _____ for the passengers in need.
reserved	adj.	矜持的，保留的	Helen's new classmate is a very quiet and _____ person.
sorrow	n.	悲傷	A friend is someone that can share your joys and _____.
technical	adj.	技術的，專門的	Josh played the piano with _____ precision but little warmth.
tower	n.	塔，高樓	I got to the top of Tokyo _____ to enjoy the panorama of the city.
tower	v.	高聳，屹立	The new building _____ in front of our house.
urban	adj.	都市的	Fiona cannot stand the hectic pace of _____ life.
wealthy	adj.	富有的	The _____ old man decided to donate all his money to charities.
additional	adj.	額外的，附加的	There will be an _____ charge for overweight baggage when you check in.
additionally	adv.	此外	Terry speaks good English. _____, he can also speak French and German well.
arrest	n.	逮捕	The thief was quickly put under _____.
arrest	v.	逮捕	The police _____ the man for drunken driving.
awful	adj.	糟糕的，可怕的	Ben had to cancel the picnic because of the _____ weather.
awfully	adv.	極其，非常	It's _____ kind of you.
basement	n.	地下室	Mrs. Lin stored the old furniture in the _____ of her house.
cattle	n.	牛群	A herd of _____ is grazing in the field.
complain	v.	抱怨	Mr. Liu often _____ about his monotonous job.
decorate	v.	裝飾	The church is _____ with flowers for the wedding.
