單字	詞性	中文解釋	例句
barn	n.	穀倉	The farmer stored hay and some tools in the _____. [1]
bunch	n.	串，束	Buck gave his girlfriend a _____ of roses. [1]
clothe	v.	給...穿衣	The models were _____d in the latest fashion. [1]
darling	n.	親愛的人	My _____, I love you very much. [2]
darling	adj.	親愛的	Peter is my _____ son. I won't let anyone hurt him. [2]
drugstore	n.	藥妝店	Many tourists buy medicine and cosmetics at _____s in Japan. [2]
flute	n.	長笛	John plays the _____ in the orchestra. [2]
grasshopper	n.	蚱蜢	Most _____s feed on crops. [2]
hammer	n.	鐵鎚	The paintings went under the _____ at an auction. [2]
hammer	v.	搥打	The carpenter is _____ing the nail into the board. [3]
hum	v.	哼唱，發出嗡嗡聲	I heard bees _____ming around flowers in the park yesterday. [3]
jail	n.	監獄	The man spent 10 years in _____ for robbery. [3]
jail	v.	監禁	The banker was _____ed for 2 years for crime. [3]
lifetime	n.	一生	Society has changed greatly during my _____. [4]
loose	adj.	寬鬆的，鬆脫的	It's more comfortable to wear _____ clothes when you exercise. [4]
loosely	adv.	寬鬆地	The coat hung _____ on his body. [4]
microphone	n.	麥克風	The chairman spoke into a _____ in the meeting. [4]
parade	n.	遊行	Many cities in the United States usually have _____s on Independence Day. [5]
parade	v.	遊行	The marchers will _____ through the streets to fight for equal rights. [5]
pat	v.	輕拍	My friend _____ted me on the shoulder. [5]
pat	n.	輕拍	Nina always gives her cat a _____ on the head before she goes to work. [5]
poll	n.	民意調查	Most recent _____s show that support for the government is declining. [5]
poll	v.	獲得(選票)	The candidate _____ed over 75% of the votes. [6]
ribbon	n.	緞帶	Nina wore a purple _____ in her hair today. [6]
scatter	v.	撒，散布	The workers are _____ing gravel on the road. [6]
scatter	n.	散布	Ann found a _____ of houses on the farm when she looked out of the train window. [6]
scattered	adj.	散布的	The weather forecast said there would be _____ showers in the afternoon. [6]
scrub	n.	刷洗	The street vender gives the food truck a good _____ every day. [7]
scrub	v.	刷洗	Mrs. Chen _____bed the kitchen floor with a brush. [7]
snap	v.	斷裂	The rope _____ped when we pulled it too tight. [7]
snap	n.	啪搭聲	My mother closed the jewelry box with a _____. [7]
surround	v.	圍繞	Due to the scandal, the actor was _____ed by many reporters. [7]
surrounding	adj.	周圍的	The plague spread to the _____ villages. [8]
swear	v.	發誓	Amy swore she knew nothing about the news. [8]
timber	n.	木材	Japan imports most of its _____ from Thailand. [8]
wax	n.	蠟	The special doll is made of _____. [8]
wax	v.	打蠟	Henry _____es his car once a month. [8]
wisdom	n.	智慧	The old man, with great _____ and experience, gave me a piece of advice. [9]
barrel	n.	桶	The wine is put in oak _____s and left to mature in the cellar. [9]
bundle	n.	捆，束	The singer receives a _____ of letters from her fans every day. [9]
cock	n.	公雞	At 5 a.m. the _____ starts to crow. [9]
dash	n.	衝刺	When the door opened, the worshippers made a _____ for the incense burner. [9]
hut	n.	小屋	The mountain _____ where the man lives hardly has any modern facilities. [10]
jazz	n.	爵士樂	Brian is a huge fan of _____. [10]
lighthouse	n.	燈塔	A _____ shows ships the way into the port. [10]
loser	n.	輸家	You have to learn to be a good _____. [10]
missile	n.	飛彈	The army attacked a terrorist base with _____s. [10]
parcel	n.	包裹	_____s of food and clean water were delivered to the disaster area within 24 hours. [11]
parcel	v.	打包	The clerk _____ed up the products to send. [11]
permit	v.	允許	The teacher doesn't _____ his students to chat in class. [11]
permit	n.	許可證	You must get a _____ so that you can fish here. [11]
porcelain	n.	瓷器	Mr. Wang has a valuable _____ collection in his house. [11]
roar	n.	吼叫聲	The tiger in the zoo let out a _____ when we walked past its cage. [12]
roar	v.	吼叫	A lion was _____ing in the cage. You could even hear it in the distance. [12]
