單字	詞性	中文解釋	例句
attendance	n.	出席	All the executives were in _____ at yesterday's meeting.
briefcase	n.	公事包	My neighbor usually wears a suit and carries a _____ to work.
clinical	adj.	臨床的	_____ trials show that the new medicine is quite effective.
compliment	n.	讚美	The whole class paid the student great _____s on her speech.
compliment	v.	讚美，稱讚	The judges all _____ed us on our performance.
conversion	n.	轉變	The country is undergoing a _____ from monarchy to democracy.
defendant	n.	被告	The _____ denied all charges and pleaded not guilty.
directory	n.	姓名地址錄，通訊錄，名錄	Joe found the company's number in the telephone _____.
entitle	v.	為(書籍等)命名；使享有...資格或權利	The magazine is _____d Newsweek.
exterior	n.	外表	The teacher hid his anger behind a calm _____.
exterior	adj.	外部的	The _____ walls of the building are made of glass.
gloomy	adj.	沮喪的；陰暗的	My aunt was very _____ after losing her job.
ideology	n.	意識形態，思想體系	Some people say that elections are about _____.
interval	n.	(時間或空間的)間隔	The singer returned to the stage after an _____ of two years.
masterpiece	n.	傑作	Van Gogh's Sunflowers is considered a _____ of Impressionist art.
narrative	n.	故事，敘述	This novel is a gripping _____ of the explorer's adventures across the Sahara Desert.
narrative	adj.	敘述的	Epics such as The Iliad and The Odyssey are _____ poems.
pastry	n.	油酥麵團；(派、塔等)油酥糕點	Cut the _____ into small pieces and then roll them into balls.
porch	n.	門廊	On summer nights, Ted and his family would sit on the _____ and gaze up at the stars.
quota	n.	配額，限額	The boxer avoids exceeding her daily _____ of calories so as not to gain weight.
republican	n.	共和主義者	Many _____s want an elected leader instead of a king or queen.
republican	adj.	共和的	In a country with a _____ government, the ruler with real power is an elected leader, instead of a king or queen.
scope	n.	範圍；機會	The task lies beyond the _____ of the novice's ability.
sibling	n.	手足，兄弟姊妹	Tom has 4 _____s: 2 brothers and 2 sisters.
spectrum	n.	光譜；範圍	When light passes through a prism, you can see the _____.
stink	n.	臭味	Do you smell a _____?
stink	v.	發出惡臭；讓人感到糟糕，討厭	That drunk's breath _____ of alcohol and smoke.
testify	v.	(尤指出庭)作證	The victim's neighbor _____ied that she heard a gunshot.
trim	v.	修剪；削除；裝飾	I got my hair _____med.
trim	n.	修剪	Kate's hair needs a _____.
trim	adj.	苗條健康的	Ann keeps _____ by swimming.
verdict	n.	判決，裁決	It took the jury 5 hours to reach a _____ of not guilty.
attic	n.	閣樓	The kids found boxes of old books and letters in the _____.
bronze	n.	青銅；銅牌	The statue is made of _____.
bronze	adj.	古銅色的	The designer wanted the model to be a young man with _____ skin.
bronze	v.	使成古銅色	The athlete's skin has been _____d by the sun.
cluster	n.	串，團，群	Sightseers were standing in a _____ around the famous statue.
cluster	v.	聚集，群集	Tim and his friends _____ed around the campfire.
comply	v.	遵從，遵守	All of us should _____ with the epidemic control regulations.
convict	v.	宣判...有罪	That man over there was _____ed of theft and fraud.
convict	n.	囚犯	The police are chasing the escaped _____.
defy	v.	違抗	The couple got into trouble because they openly _____ied the law.
disapprove	v.	不贊同，不認可，反對	Eunice strongly _____s of drunk driving.
disapproval	n.	不贊同，不認可，反對	The principal expressed strong _____ of their plan.
entity	n.	獨立存在的個體，實體	These countries are all regarded as separate _____ies.
fabulous	adj.	很棒的	I am a big fan of the _____ dancer.
gorgeous	adj.	非常漂亮的，很美的；美好的，令人愉快的	Jenny looked _____ in her new dress.
idiot	n.	笨蛋	It's not polite to talk down to people as if they were _____s.
idiotic	adj.	愚蠢至極的	What an _____ question!
intervention	n.	干涉，介入	People are opposed to military _____ in other countries' affairs.
mattress	n.	床墊	Many people prefer to sleep on soft _____es.
negotiation	n.	商議，協商，談判	The treaty is still under _____.
patch	n.	補丁；(與周圍不同的)一小片	The frugal farmer often wears jeans with _____es on the knees.
patch	v.	補綴，修補	I have to _____ my jeans; the knees are torn.
practitioner	n.	(醫界等的)從業人員	Dr. Lin is a _____ of Chinese medicine.
racism	n.	種族歧視	Many immigrants stood together to fight against _____.
resemblance	n.	相似	That boy bears a close _____ to his father.
scramble	v.	(手腳並用地)攀爬；爭搶	Those mountain climbers _____d along the edge of the cliff.
scramble	n.	攀登；爭搶	It is quite a _____ to get to the top of the mountain.
siege	n.	圍攻；包圍	The town was under _____ in the war.
speculate	v.	推測；做投機買賣	Bob don't want to _____ about the future.
speculation	n.	推測	There has been much _____ about the future.
straighten	v.	弄直；整理	The clerk _____ed his tie before entering the office.
theology	n.	神學	John wants to study _____ and philosophy at college.
triple	adj.	三倍的；由三部分組成的	The applicant demanded _____ pay.
triple	v.	(使)成為三倍	The staff tried their best to _____ the profits of the company.
triple	n.	三個一組；(棒球的)三壘打	Two espressos, no, _____s, please.
versus	prep.	與...對抗，...對...；與...對比	Tonight's match is Brazil _____ Uruguay.
attorney	n.	律師	The _____ advised her client to remain silent.
bulk	n.	巨大的東西，龐然大物；大部分	The elephant heaved its _____ out of the river.
coherent	adj.	(論述等)條理清楚的，合乎邏輯的，連貫的；(人)說話有條理的	The witness gave a _____ account of the accident.
comprise	v.	包含，包括；組成	The U.S. _____s 50 states.
correlation	n.	相互關係，相關性，關聯	There is a close _____ between smoking and many diseases such as lung cancer and heart attack.
