單字	詞性	中文解釋	例句
accent	n.	腔調，重音	The _____ is on the first syllable.
accent	v.	重讀	_____ the following words on the proper syllables.
adjust	v.	調整，適應	Grace _____ her schedule so that she could make time to visit her friends.
adjustment	n.	調整	The mechanic made some _____ to the brakes.
goods	n.	貨物，商品	Household _____ are cheaper in this department store.
incredible	adj.	難以置信的	It was _____ that Irene won the first prize.
inspire	v.	鼓舞，激發	The story of this man _____ many people not to give up their dreams.
inspiring	adj.	激勵人心的	I met an _____ teacher when I was in high school.
insurance	n.	保險	Jenny took out travel _____ before she went abroad.
insure	v.	投保	The sculpture is _____ for three million dollars.
isolation	n.	孤立，隔離	Living alone may cause a feeling of _____.
monument	n.	紀念碑	People often put up a _____ to a famous person in order to remember him or her.
neglect	n.	疏忽	Jimmy was blamed for _____ of his duty.
philosophy	n.	哲學	Luke majors in _____ in college.
pursue	v.	追求	Matt left his hometown to _____ a career in journalism in the big city.
renew	v.	更新	The toothbrush should be _____ every three months.
retreat	n.	撤退	The general ordered a _____ of all his soldiers.
retreat	v.	撤退	The defeated soldiers gave up their weapons and _____ from the battlefield.
revolution	n.	革命	A bloodless _____ broke out in that country.
acceptance	n.	接受	His _____ into a good college pleased his father.
access	n.	進入(權)	The main _____ to the gym is on the right side.
access	v.	存取，進入	Customers can _____ their bank accounts by smartphone.
ashamed	adj.	感到羞愧的	You should be _____ of your behavior.
aspect	n.	方面	We should consider all _____ of the problem.
comedy	n.	喜劇	Unlike tragedies, _____ are meant to make people laugh.
contrary	n.	相反，相反的事物	I thought that he was older than me. However, the _____ was true.
contrary	adj.	相反的	_____ to all expectations, all went well.
demonstrate	v.	證明，展示	Research has _____ that eating fast food frequently is harmful to health.
discipline	n.	紀律	The school enforces strict _____ to ensure that the students obey school rules.
discipline	v.	懲戒，訓練	The naughty student is often _____ by the teacher.
dominant	adj.	占優勢的，主導的	Christianity has achieved a _____ position in western thought.
efficiency	n.	效率	A good employee is someone who works with _____.
fantastic	adj.	極好的	Joan had a _____ time at the costume party last night.
infection	n.	感染	Washing hands before eating can efficiently reduce the risk of _____.
instinct	n.	直覺，本能	My _____ tells me that something bad has happened to Maria.
labor	n.	勞動，勞工	The workers who were exploited decided to withdraw their _____.
labor	v.	勞動	Ann has _____ over the report for three days.
learned	adj.	有學問的	We like to turn to the _____ professor for advice.
mild	adj.	溫和的	This city is chosen as one of the most livable cities in the world because of its _____ climate.
mildly	adv.	溫和地	The man _____ answered the reporter's questions.
percent	n.	百分之...	Only thirty _____ of the students passed the exam.
philosophical	adj.	哲學的，豁達的	Don't be discouraged and try to be _____ about this problem.
philosophically	adv.	哲學上地，豁達地	Mary and Tommy talked _____ about death.
pursuit	n.	追求	The speeding car went through a red light with two police cars in _____.
rainfall	n.	降雨量	The desert area is characterized by low annual _____.
reputation	n.	名譽	This college has a good academic _____.
revise	v.	修改，複習	The online dictionary is _____ every three months to keep up with the rapidly evolving language.
accidental	adj.	意外的	The police suspected that the death of the rich businessman was not _____, so they decided to conduct a closer investigation.
convey	v.	傳達	We can make use of pictures to _____ messages to people who cannot read.
dense	adj.	密集的	Due to a _____ population and limited farmland, fifty percent of the food in the country is imported from abroad.
disguise	v.	偽裝	The actress _____ herself as a nun so that no one would recognize her.
disguise	n.	偽裝	The homeless man sitting on the bench turned out to be a policeman in _____.
elementary	adj.	基本的，初級的	Louisa is taking an _____ German course.
emphasis	n.	強調	This senior high school puts great _____ on academic achievements.
forecast	n.	預測，天氣預報	The weather _____ says that it will be sunny and hot tomorrow.
recognition	n.	認可，認出	After reconstruction, the town has changed beyond _____.
reduction	n.	減少	With the introduction of new energy, there will be a _____ in the prices of oil.
resemble	v.	與...相似	The twins closely _____ each other. It's almost impossible for others to tell one from the other.
ruin	v.	毀壞	Historians predict that the third world war will _____ all civilization.
ruin	n.	廢墟，毀滅	These _____ were once the royal palace.
accomplish	v.	完成	The government attempted to _____ its objective of reducing the unemployment rate.
accomplishment	n.	成就	The _____ of these scientists are amazing.
authority	n.	權威，當局	The school _____ haven't announced the result of the contest.
delicacy	n.	美味，佳餚	This stewed soup is considered a _____ in many Asian countries.
destruction	n.	破壞	The strong earthquake caused widespread _____.
dismiss	v.	讓...離開，解僱	The teacher _____ the class as the bell rang.
dismissal	n.	解僱	The government has introduced a new law on unfair _____.
eliminate	v.	消除，淘汰	To lose weight, Jimmy _____ fried foods from his diet.
elimination	n.	淘汰，消除	You may find the answer by a process of _____.
engineering	n.	工程學	My brother majored in electronic _____ in college.
formula	n.	公式，配方	There is no _____ for success.
inspiration	n.	靈感	Artists often draw _____ from natural beauty.
instructor	n.	指導者，教練	The swimming _____ is teaching the beginners how to hold their breath underwater.
literary	adj.	文學的	Great _____ works stand the test of time with universal themes and profound thoughts.
outstanding	adj.	傑出的	With years of hard work, Michael has proven himself to be an _____ basketball player.
overthrow	v.	推翻	The civilians _____ their military government and established a democratic republic.
photography	n.	攝影	Fred loves _____, and he even wants to major in it in college.
plot	n.	情節，陰謀	The _____ of the play is so complicated that I get confused.
plot	v.	密謀	The people _____ to overthrow the government were arrested and executed.
potential	adj.	潛在的	The experts warn of the _____ danger of genetically modified foods.
retain	v.	保留	The company _____ the right to change the prices at any time.
scenery	n.	風景	The breathtaking _____ of Grand Canyon National Park attracts many tourists annually.
theme	n.	主題	Teenage rebellion is the main _____ of the new film.
accuracy	n.	準確性	The _____ of the reports in newspapers is always questionable.
