單字	詞性	中文解釋	例句
admiral	n.	海軍上將	_____ are highest ranking navy officers who direct military operations.
annoyance	n.	惱怒	To my _____, my brother took my digital camera without telling me and broke it.
arithmetic	n.	算術	If my _____ is correct, you have been playing the video game for 48 hours.
arithmetic	adj.	算術的	We have an _____ test tomorrow.
bilateral	adj.	雙邊的，雙方的	We have signed a _____ agreement to help economic growth.
broth	n.	高湯	If you make corn soup with chicken _____, it will be tastier.
Celsius	n.	攝氏	To kill all the bacteria, the water is heated to 100 degrees _____.
colloquial	adj.	口語的	Some _____ expressions are not suitable for academic essays.
consonant	n.	子音	Ben has difficulty pronouncing the _____ "z."
coral	n.	珊瑚	The Great Barrier Reef attracts many tourists coming to explore the colorful _____ reefs.
coral	adj.	珊瑚色的	Ann is wearing _____ lipstick to go with her pink dress.
courtyard	n.	中庭	My parents are used to taking a walk in the _____.
crossing	n.	穿越道	Drivers should stop at the _____ and yield to pedestrians.
detach	v.	拆開，使分離	Some workers _____ed the engine from the rest of the train.
enrich	v.	使(心靈、生活等)豐富	Pursuing some hobbies such as cooking and gardening has _____ed the retired man's life.
eternity	n.	永恆，漫長的時間	On the wedding ceremony, Matt told his wife that he would love her for _____.
hospitable	adj.	友好熱情的，好客的	Mr. and Mrs. Smith are always _____ to their guests.
liberate	v.	解放，使自由	The prisoner of war was _____d from the prison camp.
merchandise	n.	貨品	Keep the receipt in case you want to return the _____.
merchandise	v.	銷售	The CEO emphasized that the company would apply itself to _____ing this new product this year.
nickel	n.	鎳	Though some people are allergic to _____, the British government still uses it as the material for making coins.
notorious	adj.	惡名昭彰的	The king is _____ for his cruelty to his people.
radius	n.	半徑	Please draw a circle with a _____ of 10 cm.
solidarity	n.	團結	Supporters will march to show their _____ tomorrow.
strangle	v.	勒死，扼殺，壓制	That man _____d his wife with a necktie.
trek	n.	(徒步)長途跋涉	Tony is on a _____ through the Sahara Desert.
trek	v.	徒步旅行	We are going _____king in the Himalayas this year.
vanilla	n.	香草	_____ ice cream is my favorite dessert.
veil	n.	面紗，覆蓋物	The widow wore a black _____ at the funeral.
veil	v.	戴面紗，隱藏，遮掩	Muslim women often _____ their faces in public.
advisory	adj.	顧問的	John acts in an _____ role in our company.
antibiotic	n.	抗生素	The doctor prescribed some _____s for my sore throat.
antibiotic	adj.	抗生素的	Penicillin is one kind of _____ drug.
ascend	v.	上升，登上，攀登	My grandfather panted heavily after _____ing the stairs.
beforehand	adv.	預先，事先	We reserved a table at the restaurant two days _____.
blaze	n.	火焰，大火	Within minutes the firemen controlled the _____.
blaze	v.	熊熊燃燒，發光，閃耀	The living room was warm with a fire _____ing in the fireplace.
brotherhood	n.	手足情誼，親善友愛	The Statue of Liberty is a symbol of _____ between France and the U.S.
cement	n.	水泥	Concrete is made of _____, stones, sand, and water.
cement	v.	加強，鞏固	We are planning to _____ the link with other communities.
comet	n.	彗星	Do you know when Halley's _____ will come back?
conspiracy	n.	共謀或密謀策劃	The woman was found guilty of _____ in the murder of her husband.
crutch	n.	(夾在腋下用的)拐杖	Allen broke his leg and has been on _____es for two months.
cumulative	adj.	累積的	Your _____ grade in class depends on homework, test scores, and attendance.
defect	n.	毛病，缺陷	The mechanic checked the machine for _____s.
defect	v.	投奔，叛離	A Cuban diplomat _____ed to the United States.
detain	v.	羈押，拘留，耽擱	The suspect was _____ed at the police station for 24 hours.
examinee	n.	應試者，考生	There are thousands of _____s at school today.
examiner	n.	主考官	Lucas sat facing three _____s, who took turns asking him questions.
hybrid	adj.	混合的	Ken just bought a _____ car yesterday as his birthday present for himself.
hybrid	n.	混合物	The dance is a _____ of modern dance and street dance.
liberation	n.	解放(運動)	Lara is a spokesperson for the women's _____ movement.
mimic	v.	模仿	This comedian can _____ the way other people talk.
mimic	n.	模仿者	In my class, Kelly is the greatest _____.
nourish	v.	提供營養或養育，懷有，培養	Teenagers need lots of fresh food to _____ them.
orient	n.	東方國家	Many westerners are curious about the cultures of the _____.
orient	v.	使適應	The new immigrants need some time to _____ themselves to the new surroundings.
rap	n.	饒舌音樂	Sue wants to be a _____ artist.
soothe	v.	安慰，撫慰，舒緩，減輕(疼痛)	The mother _____d her crying baby.
stride	n.	大步，闊步	Tom has a long _____ that is hard to keep up with.
stride	v.	大步行走或跨越	Leo _____ over a ditch.
underneath	prep.	在...之下	The criminal hid the weapon _____ his coat.
underneath	adv.	在下面，在底下	Mary seems hard, but she is very generous _____.
underneath	n.	底部，下面	The _____ of the bread is terribly burnt.
underneath	adj.	底下的，下面的	The _____ part of the bed is very dirty.
versatile	adj.	多才多藝的，多功能的	Alex is a _____ actor.
affiliate	n.	隸屬機構，分支機構	Our company is an _____ of A&Q Corp.
applicable	adj.	適用的	The new law is _____ to all motorcycle riders.
aspire	v.	渴望	The baseball team _____d to win the championship so much.
bleach	n.	漂白劑	Shelly used _____ to remove the stain on the white shirt.
bleach	v.	(藉化學作用或因陽光)漂白，褪色	The label on the skirt says it cannot be _____ed.
bureaucrat	n.	官僚	The newly elected legislator turned out to be a nasty _____.
census	n.	人口普查	It is important to have a _____ every ten years.
commonwealth	n.	聯邦，國協	Australia is a member of the British _____.
contention	n.	論點，看法，爭議，爭吵	Our main _____ is that the project would be too expensive.
cub	n.	(狼、獅、熊等肉食性動物的)幼獸	The bear took care of its _____.
cynical	adj.	憤世嫉俗的	Lily became so _____ after her job application was rejected.
detention	n.	羈押，拘留	The criminal was held in _____ before a date was set for his trial.
