單字	詞性	中文解釋	例句
abound	v.	為數眾多，有很多，多得很；盛產，充滿	Game birds _____ in this area.
accountable	adj.	負有責任的，有義務做說明的	Henry must be _____ for his own actions.
aluminum	n.	鋁	Take a large piece of _____ foil, put some onions and potatoes on it, and place it in the oven.
astronomy	n.	天文學	Jenny majored in _____ at Penn State.
avert	v.	轉移	Mark _____ed his eyes from the horrible sight.
boycott	n.	抵制	The citizens called for a _____ against the company's new products to protest animal testing.
boycott	v.	抵制	The consumers _____ed the company's overpriced products.
bulky	adj.	龐大的	This refrigerator was so _____ that we couldn't get it through the door.
cardboard	n.	厚紙板	My dad made a toy out of _____.
civilize	v.	教化	They tried to _____ the barbarians.
civilized	adj.	文明的	All _____ countries have laws against domestic violence and murder.
collision	n.	碰撞	The man's car was completely wrecked in a _____ with a big truck.
collide	v.	抵觸	Our ideas _____d with theirs.
concession	n.	讓步	The labor union has made it clear that no _____s will be made to the employers.
counterpart	n.	相對應的人或事物	Tokyo Disneyland is much smaller than its American _____.
deafen	v.	使聽不見	The fireworks _____ed us, so we couldn't hear each other.
diesel	n.	柴油	The _____ engine is reliable and long-lasting.
dispense	v.	分發	The nuns _____d food to the poor.
folklore	n.	民間傳說	According to _____, the ghosts in the mountains would make people get lost.
imperative	adj.	迫切的	It is _____ that we finish the urgent task today.
imperative	n.	必須做的事	It is a moral _____ for me to help people in need.
intruder	n.	侵入者	The smart dog secured the house against the _____.
mingle	v.	混合；交際	Allie's excitement about college life _____d with some fear.
permissible	adj.	可容許的	Smoking in public places is not _____ under the new law.
playwright	n.	劇作家	Shakespeare is regarded as the greatest _____ in English literature.
radiate	v.	放射；散發情感	Light and heat _____ from the sun.
respective	adj.	各自的	The girls returned to their _____ homes as night fell.
respectively	adv.	分別地	The prize for first place and the prize for second place went to Joe and Sam _____.
retrieve	v.	檢索；取回	Enter the password and then you can _____ information from the computer.
retrieval	n.	挽回	Bygone days are beyond _____.
tenant	n.	租客	The landlord sued the _____ for not paying the rent.
tenant	v.	租	The old house is _____ed by a poor couple.
abstraction	n.	抽象	Tim often talks in empty _____s without real examples.
accumulation	n.	累積物；累積	An _____ of rubbish ruined the beautiful view.
amid	prep.	在...之間	The hikers moved along a narrow trail _____ trees.
aviation	n.	航空	The Boeing Company is the major and most influential company in _____ industry.
brace	n.	牙齒矯正器	John wore _____s to straighten his crooked teeth.
brace	v.	支撐；使做好準備	The bridge is _____d with a temporary pillar to prevent it from collapsing.
broaden	v.	拓展	Both reading and travel _____ the mind.
caffeine	n.	咖啡因	A study found that _____ consumed 6 hours before bedtime had a significant effect on sleep disturbance.
cardinal	n.	紅衣主教	The man has received a clear directive from the _____.
cardinal	adj.	基本的	Sour, sweet, bitter, salty, and umami are the 5 _____ tastes.
clam	n.	蛤，蚌	For real Japanese _____ miso soup, just follow the recipe.
comparative	adj.	比較的	With double income, they now live in _____ comfort.
concise	adj.	簡潔的	The report is _____ and to the point.
coupon	n.	優待券	With this _____, you can get one free cheeseburger.
deduct	v.	扣除	When you buy something with your debit card, the amount of money will be _____ed from your account.
diplomacy	n.	外交手腕	Skillful _____ was needed to prevent a war.
diversify	v.	使多樣化	The radio station _____ied its programs to attract more listeners.
gay	adj.	男同性戀的；鮮豔的	The celebrities spoke up for the _____ and lesbian community through the song.
gay	n.	男同性戀者	The girl knew some _____s and lesbians, and she didn't view it as something special.
inclusive	adj.	包含的	The list is _____ of 3 girls.
invaluable	adj.	無價的，無比貴重的，非常寶貴的	Thank you for your _____ comments on my essay.
miraculous	adj.	奇蹟似的	The magician made a _____ escape from the prison.
pneumonia	n.	肺炎	People could take precautions to prevent _____, such as washing hands regularly.
refresh	v.	使恢復活力；喚起記憶	Mike felt _____ed after the bath.
resistant	adj.	抗拒的	Oliver likes handwritten letters. He is _____ to change.
robust	adj.	強健的；堅固的	The boxer is very _____.
screwdriver	n.	螺絲起子	The worker tightened a screw with a _____.
tentative	adj.	暫定的，不確定的	Margot and Tom have a _____ plan for their honeymoon.
