單字	詞性	中文解釋	例句
dictation	n.	聽寫	The secretary can take _____ in shorthand.
disastrous	adj.	災難性的	This decision will have a _____ impact on the economy.
eccentric	adj.	古怪的	Carrying an open umbrella indoors is just one of his _____ acts.
eccentric	n.	怪人	People who stay from social norms are often described as _____s.
fertilizer	n.	肥料	Ammonium nitrate is commonly used to make _____s and explosives.
harness	n.	馬具	The horseman is putting a _____ on a horse.
harness	v.	(用馬具)套牢，拴繫，利用(太陽能等自然力)	A horse was _____ed to a cart loaded with luggage.
inflict	v.	施加(痛苦等)，使遭受(傷害等)	These bullies take delight in _____ing pain on their classmates.
maiden	adj.	初次的	It's the singer's _____ appearance on TV.
maiden	n.	少女	Different from what we used to read, the story is about the adventure of a _____.
overflow	n.	容納不下(的人或物)	There are enough wards to accommodate the _____ of patients from the other hospitals.
overflow	v.	溢出，滿出來，爆滿	Torrential rain has made the ditches _____ and turned the roads into rivers.
persistent	adj.	堅持的，固執的，持續的	Mark is _____ in seeing you.
pimple	n.	青春痘，面皰	Many people try to hide their _____s by wearing makeup.
remainder	n.	剩餘的部分	My mom gave the _____ of the meal to my dog.
subscription	n.	訂閱	Don't forget to renew your _____ to the magazine.
suspension	n.	(作為處罰的)暫令停止活動，(車輛等的)懸吊系統，懸吊裝置	The athlete received a two-year _____.
workforce	n.	勞動人口	Two-thirds of the _____ is affected by the financial crisis.
abbreviate	v.	縮寫	People _____ Sunday to "Sun."
acclaim	n.	(公開的)讚賞	The writer's novel received _____.
acclaim	v.	(公開)讚賞	The director's latest movie was _____ed as a masterpiece.
allege	v.	(未經證實地)宣稱	A man _____d that the U.S. government had covered up an alien visit to the Earth.
audit	n.	審計，查帳	Our company's annual _____ will take place next Friday.
booklet	n.	小冊子	Everyone will get a _____ before entering the meeting room.
boulevard	n.	林蔭大道，大道	It is nice to explore the city by taking a stroll along its tree-lined _____s.
caption	n.	(照片、圖畫的)說明文字	_____s underneath the photos explain the details of the pictures.
