單字	詞性	中文解釋	例句
angel	n.	天使	There are two pictures of _____s on the wall of the church.
boot	n.	靴子	I bought a pair of riding _____s in the clearance sale.
boot	v.	猛踢	The soccer player _____ed the ball straight out.
charm	n.	魅力；護身符	The rabbit's foot is Lillian's lucky _____.
charm	v.	迷住	The audience was _____ed by the violinist's performance.
cooker	n.	炊具	You have to be careful when using a pressure _____.
disk	n.	磁碟	A hard _____ can be used to store information from a computer.
envy	n.	羨慕，嫉妒	Cinderella's sisters stared with _____ when Cinderella was dancing with the prince.
envy	v.	羨慕，嫉妒	George _____ed his younger sister because she seemed to get all their parents' attention.
float	v.	漂浮	There is a volleyball _____ing in the river.
float	n.	漂浮物	To save energy, the swimmer held on to a _____ in the swimming pool.
gasoline	n.	汽油	Cars mainly run on _____.
gas	n.	氣體	We have to reduce the emission of greenhouse _____es to prevent global warming.
heater	n.	暖氣機	A _____ is used to heat the room.
hopeful	adj.	抱有希望的	The candidate is _____ about the outcome of the election.
jeep	n.	吉普車	A _____ can be used for driving on rough ground.
ladder	n.	梯子	Walking under a _____ is considered bad luck.
magnet	n.	磁鐵	The _____ attracts bits of iron.
moist	adj.	潮濕的	The flowers grew well in _____ soil.
nest	n.	鳥巢	There is a bird's _____ in the tree.
nest	v.	築巢	Some swallows _____ed next to the window.
penguin	n.	企鵝	_____s are native to the Antarctic.
pump	n.	幫浦，抽水機	The non-governmental organization installed _____s in the village.
pump	v.	抽水，打氣	The villagers _____ clean water from the well.
raw	adj.	生的，未加工的	You will probably get sick if you eat _____ meat.
rush	n.	匆忙，急忙	The worshippers all came into the temple in a _____.
rush	v.	衝，奔	After the police got the call, they _____ed to the scene of the accident immediately.
shrimp	n.	蝦	My friend is allergic to _____s.
someday	adv.	有朝一日	I hope I can visit Iceland _____.
stale	adj.	不新鮮的	Don't eat that bread because it has gone _____.
teenage	adj.	十幾歲的	This mobile app is very popular with _____ girls and boys.
tub	n.	浴缸，桶	Andrew used some _____s to grow plants and flowers.
twin	n.	雙胞胎之一	The _____s look so alike that I can hardly tell one from the other.
anyhow	adv.	無論如何	The doors were locked and we couldn't get in _____.
brass	n.	黃銅	_____ is a hard metal made of copper and zinc.
brass	adj.	黃銅的	To be a good trumpet player, Joe practices the _____ instrument eight hours every day.
chimney	n.	煙囪	The smoke rising from a _____ always reminds me of my sweet home.
cough	n.	咳嗽	The patient had a bad _____.
cough	v.	咳嗽	Ned was _____ing a lot so I took him to the doctor's.
ditch	n.	溝渠	The workers are digging _____es to prevent flooding during the typhoon seasons.
ditch	v.	拋棄，丟棄	We decided to _____ the old bicycle and buy a new one.
faint	adj.	微弱的	The sound is too _____ to be heard clearly.
faint	v.	昏厥	The runner _____ed as soon as he crossed the finish line.
faint	n.	昏厥	The old lady suddenly fell in a _____ in the sun.
flock	n.	群	_____s of wild geese are flying south.
flock	v.	聚集	Birds of a feather _____ together.
governor	n.	州長，首長	The amateur politician was elected as the _____.
hell	n.	地獄	The prison is like a _____ on earth.
horrible	adj.	可怕的	Waking up from a _____ nightmare, the little boy cried for his parents.
jet	n.	噴射；噴射機	_____s of water spurted from the fountain.
jet	v.	搭乘噴射機	Ann and Tom are _____ting off for a honeymoon in Taiwan next week.
lately	adv.	最近	The team went through a hard time last season, but _____ things have been improving.
maid	n.	女僕，女傭	The _____ comes twice a week to clean our house.
multiply	v.	乘，倍增	The math teacher asked the students to _____ 15 by 8.
nun	n.	修女	The _____ is saying her prayers in the church.
penny	n.	一分錢	A _____ saved is a _____ earned.
penniless	adj.	身無分文的	In the story, a rich girl fell in love with a _____ painter.
punch	n.	拳打	The drunk man threw a _____ at his friend.
punch	v.	用拳猛擊	The boxer _____ed his opponent in the chin.
receipt	n.	收據	The store should give you a _____ after you make a purchase.
sack	n.	麻布袋	_____s of flour and rice were donated to the earthquake victims by several charitable groups.
sin	n.	罪	Many people think it is a _____ to treat animals cruelly.
sin	v.	犯罪	The soldier believes he has _____ned against God.
spaghetti	n.	義大利麵	My parents like to have Italian food like _____ and pizza for lunch on weekends.
starve	v.	挨餓，餓死	People _____d to death during the long war.
temper	n.	脾氣	The boss has a short _____.
