單字	詞性	中文解釋	例句
analyze	v.	分析	The assignment is to _____ the main theme of the novel.
assemble	v.	聚集，組裝	Angry workers _____d in front of the factory, asking for higher pay and better working conditions.
bridegroom	n.	新郎	The bride and the _____ exchanged vows at the altar.
chorus	n.	合唱團	Boris sings with the Taipei City _____.
confusion	n.	困惑，混亂	Rumors of war threw the stock exchange into _____.
criticize	v.	批評	The policy was _____d for its unreasonable demand.
cushion	n.	靠墊，墊子	There are no chairs in this room, and we have to sit on the floor _____s.
embassy	n.	大使館	If you lose your passport abroad, report to the police and contact the _____.
emerge	v.	出現，浮現	Dr. Lee _____d as a strong rival to the president.
frequency	n.	頻率	The high _____ of his phone calls annoyed me.
globe	n.	地球儀，地球	The father used a _____ to teach his children about geography.
hatred	n.	仇恨	The leader of the political party was accused of stirring up racial _____.
imaginative	adj.	富有想像力的	The _____ writer has created many good stories.
insert	v.	插入	The old man's hands are too shaky to _____ the key into the lock.
leisurely	adj.	悠閒的	Penny and I enjoyed a _____ brunch at home on Sunday.
mislead	v.	誤導	The sly criminal tried to _____ the police into believing the story he made up.
muddy	adj.	泥濘的	The road became _____ and slippery after the rain.
partial	adj.	部分的，偏袒的	The patient may only make a _____ recovery.
prosperous	adj.	繁榮的	The small town has changed into a _____ city because of rapid industrial development.
psychology	n.	心理學	Alex is interested in the human mind and behavior, so he wants to major in _____ in college.
robber	n.	搶匪	The bank _____ was arrested this morning.
singular	adj.	單數的，非凡的	The _____ form of "thieves" is "thief."
stab	n.	刺，戳	The robber died from a _____ to the stomach.
syllable	n.	音節	There are three _____s in the word "restaurant."
vacancy	n.	空缺，空房	There is a _____ for manager in the marketing department.
appoint	v.	任命，指派	Hank was _____ed as manager of the sales department.
assembly	n.	集會，大會	The _____ consisted of people who concerned about human rights.
broom	n.	掃把	My mother bought a new _____ to clean the floor.
civilian	adj.	平民的	You cannot tell he is a general because he is in _____ clothes.
congratulate	v.	恭喜	Let me _____ you on your marriage.
curve	n.	彎曲，曲線	Drive carefully because there is a sharp _____ in the road.
defensible	adj.	可防禦的，合乎情理的	A castle built on a cliff is _____.
empire	n.	帝國	In the 6th century, the Byzantine emperor ruled a vast _____ stretching from Europe to Asia and to North Africa.
enclose	v.	隨信附上，把...圍起來	The man _____d a check with this letter.
freshman	n.	大一新生	One of the traditions in this college is to give a party to welcome the _____en.
grammar	n.	文法	There are too many errors of _____ in your composition.
hawk	n.	鷹	Kevin can see really well; he has eyes of a _____.
imitation	n.	模仿，仿製品	The comedian did an _____ of that politician and had his audience roaring with laughter.
intuition	n.	直覺	The monk has an _____ that something terrible is going to happen.
liar	n.	說謊者	The boy is the biggest _____ that I have ever met.
misunderstand	v.	誤解	Don't _____ me. I've no intention of offending anybody.
nationality	n.	國籍	Nicky was born in New York City, so he has American _____.
partnership	n.	合夥關係	My aunt has gone into _____ with a friend to start a restaurant.
publicity	n.	知名度，宣傳	Emma thinks the actor's love affair is just a _____ stunt.
publish	v.	出版	The fans are all very excited that the new volume of the comic book is finally _____ed.
rusty	adj.	生鏽的	Will stainless steel go _____?
sketch	n.	素描，草圖	Suzanne drew a rough _____ of the mountain before it rained.
stem	n.	莖，主幹	The sunflower has a tall flower _____.
technician	n.	技術人員	As a car _____, Anne is so good that she can fix any car within 12 hours.
violate	v.	違反	Anyone who _____s the law will be punished cruelly in the country.
aquarium	n.	水族箱，水族館	There is an _____ in our living room.
assign	v.	指派，分配	We _____ed a date for the next meeting.
bulletin	n.	公告，布告	Sam put an ad on the _____ board.
clarify	v.	澄清，說明	Could you _____ your first statement, please?
conquer	v.	克服，征服	If you want to be a teacher, you must _____ your fear of speaking in front of people.
damp	adj.	潮濕的	Wipe off the dirt with a _____ cloth.
